央视,#genre#
4k直播,http://111.224.103.129:10000/udp/239.254.200.243:6000
CCTV1,http://111.224.103.129:10000/udp/239.254.200.45:8008
CCTV2,http://111.224.103.129:10000/udp/239.254.200.158:6000
CCTV3,http://111.224.103.129:10000/udp/239.254.200.13:6000
CCTV3,http://111.224.103.129:10000/udp/239.254.201.152:7205
CCTV4,http://111.224.103.129:10000/udp/239.254.200.190:6307
CCTV4美洲,http://111.224.103.129:10000/udp/239.254.201.206:4220
CCTV4欧洲,http://111.224.103.129:10000/udp/239.254.201.205:4220
CCTV5,http://111.224.103.129:10000/udp/239.254.200.14:6000
CCTV5,http://111.224.103.129:10000/udp/239.254.201.153:7206
CCTV5＋,http://111.224.103.129:10000/udp/239.254.200.46:8004
CCTV6,http://111.224.103.129:10000/udp/239.254.200.15:6000
CCTV6,http://111.224.103.129:10000/udp/239.254.201.154:7207
CCTV7,http://111.224.103.129:10000/udp/239.254.200.159:6000
CCTV8,http://111.224.103.129:10000/udp/239.254.200.16:6000
CCTV8,http://111.224.103.129:10000/udp/239.254.201.155:7208
CCTV9,http://111.224.103.129:10000/udp/239.254.200.59:8112
CCTV10,http://111.224.103.129:10000/udp/239.254.200.160:6000
CCTV11,http://111.224.103.129:10000/udp/239.254.201.123:8120
CCTV11,http://111.224.103.129:10000/udp/239.254.200.7:8040
CCTV12,http://111.224.103.129:10000/udp/239.254.200.161:6000
CCTV13,http://111.224.103.129:10000/udp/239.254.200.9:8264
CCTV14,http://111.224.103.129:10000/udp/239.254.200.162:6000
CCTV15,http://111.224.103.129:10000/udp/239.254.201.124:8136
CCTV16,http://111.224.103.129:10000/udp/239.254.200.
CCTV16-4K,http://111.224.103.129:10000/udp/239.254.201.
CCTV17,http://111.224.103.129:10000/udp/239.254.201.120:8144
CCTV兵器科技,http://111.224.103.129:10000/udp/239.254.200.101:6235
CCTV兵器科技高清,http://111.224.103.129:10000/udp/239.254.201.225:7249
CCTV第一剧场,http://111.224.103.129:10000/udp/239.254.200.93:6227
CCTV第一剧场高清,http://111.224.103.129:10000/udp/239.254.201.218:7258
